datum,neuPositiv,inzidenz7tage
2020-03-02,1,0.69
2020-03-03,1,1.38
2020-03-04,0,1.38
2020-03-05,0,1.38
2020-03-06,4,4.15
2020-03-07,1,4.84
2020-03-08,3,6.92
2020-03-09,2,7.61
2020-03-10,4,9.68
2020-03-11,0,9.68
2020-03-12,5,13.14
2020-03-13,4,13.14
2020-03-14,0,12.45
2020-03-15,4,13.14
2020-03-16,2,13.14
2020-03-17,3,12.45
2020-03-18,8,17.99
2020-03-19,2,15.91
2020-03-20,8,18.68
2020-03-21,2,20.06
2020-03-22,9,23.52
2020-03-23,10,29.05
2020-03-24,17,38.74
2020-03-25,26,51.19
2020-03-26,18,62.26
2020-03-27,16,67.79
2020-03-28,21,80.93
2020-03-29,5,78.17
2020-03-30,16,82.32
2020-03-31,19,83.7
2020-04-01,15,76.09
2020-04-02,20,77.48
2020-04-03,22,81.63
2020-04-04,14,76.78
2020-04-05,2,74.71
2020-04-06,8,69.17
2020-04-07,6,60.18
2020-04-08,25,67.1
2020-04-09,17,65.02
2020-04-10,7,54.65
2020-04-11,2,46.35
2020-04-12,5,48.42
2020-04-13,4,45.66
2020-04-14,2,42.89
2020-04-15,19,38.74
2020-04-16,5,30.44
2020-04-17,6,29.75
2020-04-18,2,29.75
2020-04-19,1,26.98
2020-04-20,6,28.36
2020-04-21,1,27.67
2020-04-22,10,21.44
2020-04-23,10,24.9
2020-04-24,12,29.05
2020-04-25,3,29.75
2020-04-26,0,29.05
2020-04-27,6,29.05
2020-04-28,2,29.75
2020-04-29,15,33.2
2020-04-30,1,26.98
2020-05-01,3,20.75
2020-05-02,0,18.68
2020-05-03,0,18.68
2020-05-04,1,15.22
2020-05-05,1,14.53
2020-05-06,2,5.53
2020-05-07,2,6.23
2020-05-08,0,4.15
2020-05-09,1,4.84
2020-05-10,0,4.84
2020-05-11,4,6.92
2020-05-12,5,9.68
2020-05-13,11,15.91
2020-05-14,3,16.6
2020-05-15,4,19.37
2020-05-16,0,18.68
2020-05-17,0,18.68
2020-05-18,1,16.6
2020-05-19,0,13.14
2020-05-20,0,5.53
2020-05-21,0,3.46
2020-05-22,0,0.69
2020-05-23,3,2.77
2020-05-24,0,2.77
2020-05-25,1,2.77
