WikidataObjekt,Bezeichnung,Beschreibung,Typ,Geschlecht
Q196,Kirsche,Frucht,Früchte,
Q254,Wolfgang Amadeus Mozart,Musiker und Komponist der Wiener Klassik,Komponisten,maennlich
Q255,Ludwig van Beethoven,deutscher Komponist (1770–1827),Komponisten,maennlich
Q405,Mond,einziger natürlicher Trabant der Erde,Himmelskörper,
Q454,Frieden,"Zustand der Ruhe und Harmonie, Abwesenheit von Gewalt, Angst und anderen Störungen",Sonstige,
Q523,Stern,"massereicher, selbstleuchtender Himmelskörper",Himmelskörper,
Q532,Dorf,zumeist kleine Gruppensiedlung,Bauwerke,
Q764,Pilze,"Organismus, der sowohl tierische als auch pflanzliche Eigenschaften hat",Sonstige,
Q1311,Winter,kälteste der vier gemäßigten Jahreszeiten,Jahreszeiten,
Q1312,Frühling,eine der vier gemäßigten Jahreszeiten,Jahreszeiten,
Q1313,Sommer,heißeste der vier gemäßigten Jahreszeiten,Jahreszeiten,
Q1314,Herbst,eine der vier gemäßigten Jahreszeiten,Jahreszeiten,
Q1339,Johann Sebastian Bach,deutscher Komponist des Barock,Komponisten,maennlich
Q1511,Richard Wagner,"deutscher Komponist, Dramatiker, Philosoph, Dichter, Schriftsteller, Theaterregisseur und Dirigent (1813–1883)",Komponisten,maennlich
Q1726,München,"Landeshauptstadt des Freistaates Bayern, Deutschland",Ortsnamen,
Q3031,Mädchen,junger Mensch weiblichen Geschlechts,Sonstige,
Q3375,Zugspitze,"mit 2962 m ü. NHN höchster Berg Deutschlands, im Wettersteingebirge",Berge,
Q4421,Wald,aus Bäumen bestehende Pflanzenformation,Bäume,
Q6573,Hamster,Unterfamilie der Familie Wühler (Cricetidae),andere Tiere,
Q7294,Johannes Brahms,"deutscher Komponist, Pianist und Dirigent",Komponisten,maennlich
Q7304,Gustav Mahler,österreichischer Komponist und Dirigent (1860-1911),Komponisten,maennlich
Q7312,Franz Schubert,österreichischer Komponist,Komponisten,maennlich
Q7317,Giuseppe Verdi,italienischer Komponist der Romantik,Komponisten,maennlich
Q7349,Joseph Haydn,österreicher Komponist der Wiener Klassik,Komponisten,maennlich
Q7351,Robert Schumann,"Komponist, Musikkritiker und Dirigent",Komponisten,maennlich
Q8331,Fuchs,Trivialname für eine Gruppe von mehr oder weniger eng verwandten Arten und Gattungen der Hunde (Canidae),andere Tiere,
Q9554,Martin Luther,"deutscher Theologe, Autor und Urheber der Reformation",andere Personen,maennlich
Q9726,Gioachino Rossini,italienischer Komponist,Komponisten,maennlich
Q10856,Tauben,Familie der Klasse Vögel (Aves),Vögel,
Q11009,Nussfrucht,"Schließfrucht, bei der alle drei Schichten der Fruchtwand verholzen",Früchte,
Q12004,Eichen,Gattung der Familie Buchengewächse (Fagaceae),Bäume,
Q12117,Getreide,kultivierte Pflanzen der Familie der Süßgräser,Sonstige,
Q14683,Haussperling,Vogelart,Vögel,
Q16970,Kirchengebäude,Gebäude errichtet für Andacht und Gottesdienste einer christlichen Religionsgemeinschaft,Bauwerke,
Q22701,Schwarzer Holunder,Art der Gattung Holunder (Sambucus),andere Pflanzen,
Q23390,Hirsche,Familie der Ordnung Paarhufer (Artiodactyla),andere Tiere,
Q25222,Eulen,Ordnung der Klasse Vögel (Aves),Vögel,
